Rk,Date,School,,Opponent,Type,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,12/10/2023,USC,,Long Beach State,REG,L,0,16,1,3,0.333,0,0,,1,3,0.333,1,2,0.5,0,3,3,2,2,1,0,0,4
2,12/17/2023,USC,@,Auburn,REG,L,0,14,1,4,0.25,1,2,0.5,0,2,0,3,4,0.75,0,2,2,0,0,0,1,1,5
3,12/19/2023,USC,@,Alabama State,REG,W,0,18,2,5,0.4,0,0,,2,5,0.4,0,0,,0,3,3,1,1,0,3,3,6
4,12/28/2023,USC,@,Oregon,REG,L,0,14,2,3,0.667,1,1,1,1,2,0.5,0,0,,0,3,3,1,2,0,0,4,5
5,12/30/2023,USC,@,Oregon State,REG,L,0,20,6,11,0.545,4,5,0.8,2,6,0.333,1,1,1,0,1,1,3,1,0,0,2,15
6,1/3/2024,USC,,California,REG,W,0,18,4,6,0.667,4,5,0.8,0,1,0,2,2,1,0,2,2,3,1,0,2,1,10
7,1/6/2024,USC,,Stanford,REG,W,0,19,0,4,0,0,1,0,0,3,0,2,5,0.4,0,2,2,1,2,0,0,2,2
8,1/10/2024,USC,,Washington State,REG,L,0,15,0,3,0,0,2,0,0,1,0,0,0,,0,2,2,1,0,0,1,1,0
9,1/13/2024,USC,@,Colorado,REG,L,1,25,0,7,0,0,4,0,0,3,0,0,0,,0,2,2,1,0,0,0,0,0
10,1/17/2024,USC,@,Arizona,REG,L,1,30,5,11,0.455,4,7,0.571,1,4,0.25,0,0,,2,3,5,6,0,1,5,1,11
11,1/20/2024,USC,@,Arizona State,REG,L,1,25,3,6,0.5,2,4,0.5,1,2,0.5,0,0,,0,4,4,5,0,0,3,2,7
12,1/27/2024,USC,,UCLA,REG,L,0,15,0,3,0,0,2,0,0,1,0,2,2,1,0,4,4,0,0,1,2,1,2
13,2/1/2024,USC,,Oregon,REG,L,0,22,2,5,0.4,0,3,0,2,2,1,0,0,,2,2,4,7,2,0,1,2,6
,13 Games,,,,,,3,252,26,71,0.366,16,36,0.444,10,35,0.286,11,16,0.688,4,33,37,31,11,3,18,20,73
