,,,,,,,School,,,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,,,,
G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,11/6/2023,N,Kansas State,W,82,69,31,60,0.517,5,20,0.25,15,19,0.789,8,35,17,8,8,18,19,,22,71,0.31,8,33,0.242,17,24,0.708,19,39,14,9,2,17,23
2,11/9/2023,,Cal State Bakersfield,W,85,59,30,55,0.545,8,21,0.381,17,22,0.773,6,28,18,11,2,11,10,,24,57,0.421,4,16,0.25,7,11,0.636,7,26,11,7,2,14,20
3,11/14/2023,,UC-Irvine,L,60,70,17,59,0.288,4,21,0.19,22,26,0.846,11,38,7,4,6,15,14,,24,62,0.387,8,25,0.32,14,17,0.824,5,30,17,6,4,7,20
4,11/19/2023,,Brown,W,81,70,24,56,0.429,12,24,0.5,21,32,0.656,12,39,12,1,1,12,17,,25,61,0.41,9,33,0.273,11,18,0.611,10,38,14,5,3,9,26
5,11/23/2023,N,Seton Hall,W,71,63,20,45,0.444,10,23,0.435,21,27,0.778,5,33,11,9,13,19,13,,25,71,0.352,3,16,0.188,10,12,0.833,13,32,9,10,3,12,21
6,11/24/2023,N,Oklahoma,L,70,72,26,57,0.456,9,23,0.391,9,12,0.75,7,26,15,6,6,10,14,,30,60,0.5,10,22,0.455,2,7,0.286,9,31,15,5,1,13,10
7,11/29/2023,,Eastern Washington,W,106,78,36,63,0.571,12,24,0.5,22,28,0.786,9,33,24,6,5,7,19,,28,63,0.444,13,34,0.382,9,15,0.6,9,27,23,2,3,13,21
8,12/2/2023,N,Gonzaga,L,76,89,31,66,0.47,6,22,0.273,8,17,0.471,14,31,12,6,3,10,14,,34,65,0.523,12,22,0.545,9,12,0.75,11,35,17,6,4,12,17
9,12/10/2023,,Long Beach State,L (1 OT),79,84,26,64,0.406,7,31,0.226,20,36,0.556,16,40,17,13,4,18,24,,24,57,0.421,6,19,0.316,30,40,0.75,9,35,13,9,8,16,22
10,12/17/2023,@,Auburn,L,75,91,24,60,0.4,6,19,0.316,21,26,0.808,10,34,9,4,3,15,22,,29,61,0.475,8,21,0.381,25,32,0.781,9,29,18,9,7,7,22
11,12/19/2023,@,Alabama State,W,79,59,24,60,0.4,10,27,0.37,21,28,0.75,12,49,16,4,6,11,14,,23,70,0.329,8,27,0.296,5,9,0.556,6,33,13,7,7,9,20
12,12/28/2023,@,Oregon,L,74,82,28,61,0.459,8,24,0.333,10,15,0.667,9,30,20,6,4,12,23,,24,52,0.462,8,20,0.4,26,32,0.813,6,29,12,9,1,12,12
13,12/30/2023,@,Oregon State,L,70,86,27,53,0.509,10,26,0.385,6,8,0.75,8,17,14,10,2,18,26,,28,47,0.596,8,17,0.471,22,31,0.71,6,25,16,9,2,20,15
14,1/3/2024,,California,W,82,74,33,62,0.532,11,28,0.393,5,7,0.714,5,29,29,7,3,13,10,,28,61,0.459,12,31,0.387,6,9,0.667,6,28,21,10,1,12,15
15,1/6/2024,,Stanford,W,93,79,32,67,0.478,14,25,0.56,15,24,0.625,9,29,18,13,7,6,10,,29,55,0.527,13,22,0.591,8,10,0.8,4,30,24,3,5,18,17
16,1/10/2024,,Washington State,L,64,72,22,58,0.379,6,21,0.286,14,22,0.636,5,29,12,7,1,8,21,,24,51,0.471,6,19,0.316,18,23,0.783,3,32,13,4,6,13,18
17,1/13/2024,@,Colorado,L,58,68,22,61,0.361,5,17,0.294,9,11,0.818,11,38,9,5,3,12,10,,27,61,0.443,5,17,0.294,9,13,0.692,8,32,14,9,3,7,13
18,1/17/2024,@,Arizona,L,67,82,26,61,0.426,8,24,0.333,7,9,0.778,9,36,19,8,4,19,24,,28,70,0.4,10,26,0.385,16,26,0.615,18,44,18,15,2,14,12
19,1/20/2024,@,Arizona State,L,67,82,27,58,0.466,4,15,0.267,9,16,0.563,11,39,14,3,5,19,14,,30,70,0.429,8,26,0.308,14,19,0.737,12,31,15,12,3,8,14
20,1/27/2024,,UCLA,L,50,65,17,48,0.354,6,13,0.462,10,16,0.625,6,25,12,4,10,7,17,,20,56,0.357,7,16,0.438,18,24,0.75,11,36,13,5,4,5,15
21,2/1/2024,,Oregon,L,69,78,27,62,0.435,9,26,0.346,6,6,1,12,33,21,6,14,13,19,,24,65,0.369,12,32,0.375,18,21,0.857,15,30,19,8,6,9,11
22,2/3/2024,,Oregon State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2/7/2024,@,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,2/10/2024,@,Stanford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2/15/2024,,Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2/17/2024,,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2/24/2024,@,UCLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2/29/2024,@,Washington State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,3/2/2024,@,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,3/7/2024,,Arizona State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,3/9/2024,,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
