Rank,Game Number,Date,Age,Opposition,Result,Games Started,Minutes Played,Field Goals Made,Field Goals Attempted,Field Goal Percentage,Three Points Made,Three Points Attempted,Three Point Percentage,Free Throws Made,Free Throws Attempted,Free Throw Percentage,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Gamescore,Plus Minus
1,1,10/24/2023,25-148,DEN,L (-12),1,31:20:00,4,11,0.364,1,2,0.5,5,7,0.714,4,4,8,4,2,0,2,2,14,13.1,-14
2,2,10/26/2023,25-150,PHO,W (+5),1,27:54:00,4,7,0.571,1,2,0.5,1,2,0.5,1,1,2,1,1,0,1,5,10,6,-11
3,3,10/29/2023,25-153,SAC,L (-5),1,27:32:00,1,12,0.083,1,8,0.125,2,2,1,0,2,2,2,1,0,3,2,5,-3.8,-12
4,4,10/30/2023,25-154,ORL,W (+3),1,31:19:00,5,12,0.417,1,4,0.25,0,0,,0,3,3,3,0,1,3,0,11,5.3,-14
5,5,11/1/2023,25-156,LAC,W (+5),1,37:37:00,5,13,0.385,0,3,0,5,5,1,2,5,7,7,3,0,5,4,15,12.1,-5
6,6,11/4/2023,25-159,ORL,L (-19),1,34:00:00,7,11,0.636,3,5,0.6,3,4,0.75,0,2,2,2,2,0,1,0,20,17.7,6
7,7,11/6/2023,25-161,MIA,L (-1),1,40:08:00,9,14,0.643,3,8,0.375,2,3,0.667,3,7,10,9,1,0,4,1,23,23.5,2
8,8,11/8/2023,25-163,HOU,L (-34),1,25:56:00,2,9,0.222,0,4,0,3,3,1,0,1,1,4,2,0,2,1,7,4.2,-28
9,9,11/10/2023,25-165,PHO,W (+3),0,35:24:00,6,11,0.545,2,4,0.5,1,1,1,0,1,1,7,1,0,2,1,15,13.5,-2
10,10,11/12/2023,25-167,POR,W (+6),0,28:28:00,6,12,0.5,2,4,0.5,4,4,1,0,4,4,4,0,0,1,0,18,15,3
11,11,11/14/2023,25-169,MEM,W (+27),0,29:11:00,5,9,0.556,4,4,1,2,3,0.667,2,10,12,7,0,0,3,0,16,17.6,13
12,12,11/15/2023,25-170,SAC,L (-15),0,33:40:00,4,10,0.4,0,5,0,1,2,0.5,2,9,11,8,1,0,4,1,9,9.5,0
13,13,11/17/2023,25-172,POR,W (+12),0,17:59,1,4,0.25,0,0,,5,6,0.833,1,1,2,4,0,0,3,0,7,5,10
14,14,11/19/2023,25-174,HOU,W (+1),0,25:18:00,5,7,0.714,2,3,0.667,5,6,0.833,0,6,6,6,0,0,2,0,17,17.7,9
15,15,11/21/2023,25-176,UTA,W (+32),0,26:22:00,7,13,0.538,1,4,0.25,4,4,1,0,5,5,5,3,0,2,0,19,18.7,10
16,16,11/22/2023,25-177,DAL,L (-3),0,31:25:00,7,14,0.5,1,5,0.2,2,3,0.667,1,5,6,6,0,0,2,5,17,12,-3
17,17,11/25/2023,25-180,CLE,W (+6),0,32:21:00,4,8,0.5,1,2,0.5,6,6,1,1,4,5,10,2,0,2,1,15,19.5,-2
18,18,11/27/2023,25-182,PHI,L (-44),0,28:35:00,4,10,0.4,1,4,0.25,3,3,1,0,2,2,2,0,0,3,2,12,4.8,-19
19,19,11/29/2023,25-184,DET,W (+26),0,24:20:00,3,8,0.375,0,4,0,0,0,,1,2,3,4,0,1,2,2,6,3.6,13
20,20,11/30/2023,25-185,OKC,L (-23),0,28:47:00,5,9,0.556,1,4,0.25,3,3,1,0,2,2,3,0,0,2,2,14,9.6,-23
21,21,12/2/2023,25-187,HOU,W (+10),0,22:09,6,11,0.545,1,4,0.25,5,6,0.833,1,3,4,1,3,0,1,2,18,15.8,15
22,22,12/5/2023,25-190,PHO,W (+3),0,26:53:00,7,16,0.438,3,8,0.375,3,3,1,2,4,6,2,0,0,3,1,20,12.2,17
23,23,12/7/2023,25-192,NOP,W (+44),0,23:12,5,9,0.556,3,6,0.5,4,4,1,0,5,5,7,1,0,2,0,17,18.1,21
24,24,12/12/2023,25-197,DAL,L (-2),0,31:48:00,7,14,0.5,4,7,0.571,4,5,0.8,0,5,5,8,0,0,3,2,22,17.9,4
25,25,12/13/2023,25-198,SAS,W (+3),0,29:11:00,6,10,0.6,3,6,0.5,0,0,,2,2,4,8,1,0,1,2,15,17.2,-9
26,26,12/15/2023,25-200,SAS,L (-14),1,34:04:00,8,18,0.444,4,10,0.4,2,2,1,2,5,7,4,0,0,2,0,22,16.3,-8
27,27,12/18/2023,25-203,NYK,L (-5),0,33:10:00,6,15,0.4,3,7,0.429,5,5,1,0,3,3,7,1,0,4,2,20,13.9,7
28,28,12/20/2023,25-205,CHI,L (-16),0,27:52:00,9,14,0.643,2,5,0.4,1,1,1,0,0,0,3,1,1,3,1,21,15.2,-22
29,29,12/21/2023,25-206,MIN,L (-7),0,27:11:00,7,14,0.5,1,4,0.25,5,5,1,2,6,8,5,2,0,4,2,20,16.9,-9
30,30,12/23/2023,25-208,OKC,W (+9),0,28:24:00,4,8,0.5,2,5,0.4,1,1,1,0,3,3,9,0,0,1,3,11,12,-2
