G,Date,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,,,,,,,,,,,,,,,,,,,,,,,,,
1,10/18/2022,GSW,L (-14),0,16:00,1,3,0.333,0,2,0,1,1,1,0,0,0,1,0,0,0,1,3,1.6,-6
2,10/20/2022,LAC,L (-6),0,21:55,1,2,0.5,0,1,0,2,2,1,2,2,4,2,0,0,0,5,4,4.4,0
3,10/23/2022,POR,L (-2),0,18:58,2,5,0.4,2,4,0.5,1,1,1,0,0,0,1,1,0,2,1,7,3.6,-6
4,10/26/2022,DEN,L (-11),1,26:29:00,3,5,0.6,2,3,0.667,0,0,,0,2,2,1,0,0,1,0,8,6,-23
5,10/28/2022,MIN,L (-9),0,26:35:00,4,5,0.8,2,3,0.667,2,2,1,1,6,7,3,0,0,2,0,12,12.7,8
6,10/30/2022,DEN,W (+11),0,27:36:00,3,6,0.5,2,4,0.5,2,3,0.667,0,4,4,2,1,1,0,1,10,10.5,15
7,11/2/2022,NOP,W (+3),0,34:27:00,2,6,0.333,0,3,0,3,3,1,0,0,0,2,2,0,1,1,7,5.6,-11
8,11/4/2022,UTA,L (-14),0,21:41,1,1,1,1,1,1,2,2,1,0,2,2,3,1,2,1,1,5,8.4,-4
9,11/6/2022,CLE,L (-14),0,25:25:00,0,2,0,0,1,0,1,1,1,0,4,4,0,0,1,2,3,1,-1.7,-12
10,11/7/2022,UTA,L (-23),1,29:48:00,2,6,0.333,0,3,0,7,7,1,0,4,4,1,0,0,0,0,11,9.5,-14
11,11/9/2022,LAC,L (-13),1,35:16:00,3,10,0.3,1,5,0.2,1,3,0.333,4,5,9,1,0,0,1,0,8,5.4,1
12,11/11/2022,SAC,L (-6),0,33:04:00,7,12,0.583,0,2,0,5,5,1,2,3,5,1,1,0,3,1,19,14,2
13,11/13/2022,BRK,W (+13),1,32:36:00,5,8,0.625,3,4,0.75,2,3,0.667,0,1,1,3,0,0,1,2,15,11.6,20
14,11/18/2022,DET,W (+7),1,36:23:00,5,8,0.625,2,4,0.5,4,4,1,1,3,4,6,0,1,0,2,16,18.1,14
15,11/20/2022,SAS,W (+31),1,27:17:00,7,11,0.636,3,4,0.75,4,4,1,1,1,2,3,0,0,1,1,21,17.8,19
16,11/22/2022,PHO,L (-10),1,35:36:00,3,5,0.6,0,1,0,5,5,1,1,2,3,4,0,1,1,5,11,10.5,-2
17,11/25/2022,SAS,W (+11),0,29:18:00,3,8,0.375,0,3,0,2,2,1,1,5,6,2,1,0,2,1,8,5.8,15
18,11/26/2022,SAS,W (+5),0,30:50:00,6,7,0.857,1,2,0.5,3,3,1,0,2,2,2,1,0,2,3,16,13.3,3
19,11/28/2022,IND,L (-1),0,31:17:00,2,4,0.5,2,3,0.667,7,7,1,0,2,2,1,0,0,1,1,13,10.9,6
20,11/30/2022,POR,W (+19),1,34:55:00,7,10,0.7,2,5,0.4,6,8,0.75,2,3,5,3,1,1,0,1,22,22.7,10
